dll_name,registration_call_address,interface_uuid,interface_address,flags,security_callback,has_security_descriptor,global_caching_enabled
winhttp.dll,0x17613993b,unknown,rcx,0x29,0x0,True,True
wininit.exe,0x14003ca8e,894de0c0-0d55-11d3-a322-00c04fa321a1,0x140062040,0x90,0x14003e250,False,False
wininit.exe,0x140048a57,76f226c3-ec14-4325-8a99-6a46348418ae,0x140062990,0x28,0x140005040,False,True
wininit.exe,0x140048b9f,76f226c3-ec14-4325-8a99-6a46348418af,0x1400629f0,0x28,unknown,False,True
wininit.exe,0x14003f35f,d95afe70-a6d5-4259-822e-2c84da1ddb0d,0x140062390,0x8,0x1400036b0,False,True
wininit.exe,0x14003f463,ba67a024-b9e7-4fba-9e59-37c2424d6786,0x140062480,0x11,0x14003b4b0,True,True
winlogon.exe,0x14000fad0,12e65dd8-887f-41ef-91bf-8d816c42c2e7,0x14009e050,unknown,0x140093a00,False,unknown
winlogon.exe,0x14000ff8f,76f226c3-ec14-4325-8a99-6a46348418ae,0x14009e110,unknown,0x140036ab0,False,unknown
winlogon.exe,0x14001012f,unknown,0x14009e0b0,0x28,unknown,False,True
witnesswmiv2provider.dll,0x1800025c4,a2484e1a-a313-4ea2-8fe9-8a873ea275ba,0x1800067e0,0x1,0x180002200,False,True
wkssvc.dll,0x1800081b9,7f1343fe-50a9-4927-a778-0c5859517bac,0x180032dd0,0x31,0x180007cc0,False,True
wkssvc.dll,0x180020855,6bffd098-a112-3610-9833-46c3f87e345a,0x1800302a0,unknown,0x180002070,False,unknown
wkssvc.dll,0x18002412e,eb081a0d-10ee-478a-a1dd-50995283e7a8,0x180032ea0,0xb1,0x1800242a0,False,False
wkssvc.dll,0x1800280fc,f2c9b409-c1c9-4100-8639-d8ab1486694a,0x1800331a0,0xb1,0x1800282a0,False,False
ws2_32.dll,0x1800358d4,unknown,0x1800490e0,0x28,0x1800372a0,False,True
